,mean_abs_shap_defaulters,mean_abs_shap_non_defaulters,combined_mean,min_importance
PAY_0,1.101,1.257,1.179,1.101
SEX_female,0.479,0.513,0.496,0.479
SEX_male,0.422,0.414,0.418,0.414
LIMIT_BAL,0.338,0.463,0.4,0.338
MARRIAGE_single,0.336,0.319,0.327,0.319
AGE,0.3,0.298,0.299,0.298
PAY_6,0.258,0.247,0.252,0.247
PAY_2,0.236,0.222,0.229,0.222
BILL_AMT1,0.231,0.224,0.227,0.224
PAY_3,0.206,0.244,0.225,0.206
PAY_4,0.211,0.224,0.218,0.211
PAY_AMT6,0.2,0.231,0.216,0.2
EDUCATION_university,0.181,0.231,0.206,0.181
BILL_AMT6,0.197,0.206,0.202,0.197
PAY_AMT2,0.176,0.22,0.198,0.176
PAY_AMT3,0.138,0.202,0.17,0.138
BILL_AMT4,0.164,0.166,0.165,0.164
PAY_AMT1,0.146,0.163,0.154,0.146
PAY_AMT4,0.16,0.147,0.153,0.147
BILL_AMT2,0.151,0.152,0.151,0.151
MARRIAGE_married,0.156,0.145,0.15,0.145
EDUCATION_graduate school,0.148,0.148,0.148,0.148
JOB_TYPE_12.0,0.165,0.127,0.146,0.127
BILL_AMT3,0.134,0.145,0.14,0.134
BILL_AMT5,0.145,0.134,0.14,0.134
PAY_AMT5,0.111,0.145,0.128,0.111
PAY_5,0.111,0.114,0.113,0.111
EDUCATION_high school diploma,0.101,0.09,0.096,0.09
JOB_TYPE_11.0,0.062,0.068,0.065,0.062
JOB_TYPE_13.0,0.05,0.052,0.051,0.05
JOB_TYPE_6.0,0.04,0.051,0.046,0.04
JOB_TYPE_1.0,0.036,0.048,0.042,0.036
JOB_TYPE_10.0,0.036,0.044,0.04,0.036
JOB_TYPE_3.0,0.045,0.029,0.037,0.029
JOB_TYPE_7.0,0.026,0.03,0.028,0.026
JOB_TYPE_14.0,0.028,0.025,0.027,0.025
JOB_TYPE_9.0,0.032,0.02,0.026,0.02
JOB_TYPE_5.0,0.024,0.025,0.024,0.024
JOB_TYPE_2.0,0.017,0.025,0.021,0.017
JOB_TYPE_4.0,0.016,0.022,0.019,0.016
SEX_UNKNOWN,0.003,0.029,0.016,0.003
JOB_TYPE_15.0,0.013,0.011,0.012,0.011
EDUCATION_other,0.004,0.015,0.009,0.004
JOB_TYPE_UNKNOWN,0.002,0.016,0.009,0.002
JOB_TYPE_8.0,0.003,0.006,0.004,0.003
MARRIAGE_UNKNOWN,0.001,0.003,0.002,0.001
EDUCATION_post graduate,0.002,0.001,0.001,0.001
MARRIAGE_other,0.0,0.0,0.0,0.0
EDUCATION_UNKNOWN,0.0,0.0,0.0,0.0
MARRIAGE_divorce,0.0,0.0,0.0,0.0
